,version,matrix_size,tile_size,instructions,cpu-cycles,branch-misses,branch-instructions,cache-references,cache-misses,dtlb-read-accesses,dtlb-read-misses,dtlb-write-misses,dtlb-write-accesses,l1d-read-accesses,l1d-read-misses,l1d-write-accesses,ll-read-accesses,ll-read-misses,ll-write-accesses,ll-write-misses,time-elapsed,page_fault
38,v1,8192,16,25242248876987,7305488690314,7014266642,659513209502,15737380514,6565193553,8538099751954,2233312687,398154,1172796071771,8541358535197,458766142504,1172925808356,2893331003,1966710578,184105,41243,39m25.949476846s,0
39,v1,8192,128,24790687953538,8571170398285,4331402710,562597850951,386347289640,863882835,8279790110411,40615853,135715,1108184826346,8282377152974,547859719519,1108274780729,206984763582,45017277,41266343,450,46m15.217004934s,0
40,v2,8192,16,25241662659286,7295256140735,7157260817,659430466641,15226085959,6036867592,8537483952984,2174067979,434263,1172743811935,8541962661899,458068105859,1172936462802,2547348907,1668448638,132782,90154,39m22.665230321s,0
41,v2,8192,32,24979687335418,7595293920472,17753968414,602796219685,17258485434,6079226340,8386576636607,563150122,141744,1134926153760,8389673257909,507881146526,1135149685815,3531781593,972416987,710074,43903,41m0.376353898s,0
42,v6,8192,4,27250628877593,14191843652338,10948507,1090622455002,454507316347,311983069099,9686888237943,59729171412,8815670830,1460061065988,9691285604349,232909386087,1460605504180,69900800550,53812333054,133237,118748,1h40m13.849517649s,0
43,v3,8192,16,25245367456323,7787692554430,8506480057,659524234511,26546166777,18000742113,8538287898215,4235234674,3964902,1172785356005,8541102910395,464546160965,1172944625327,5000046908,3666457865,109158,3026,43m26.308149958s,0
44,v3,8192,32,24979034274672,7639700429459,17753922611,602787153588,8851543216,6286809470,8386663365539,1107315531,1082510,1134925372940,8389540765576,507700801916,1135081461631,1229299319,968254658,32560,2116,41m14.231098478s,0
45,v5,8192,16,25244935172716,7222757577467,7148088127,659571773651,5396173333,2142168162,8539064252642,36873325,128199,1172878593635,8541225065893,456676180477,1172847894910,693626018,45707006,64542,1368,38m58.693938744s,0
46,v3,8192,256,24759914326938,9006276036129,2156267631,556087300778,1026524486742,250126590,8262611526732,17462858,184890,1103835506885,8264631799852,549174097670,1103949298358,525810520565,18146530,65785700,1003,48m36.058792564s,0
47,v6,8192,64,24852527154892,7540948033965,8733634042,575788897941,14593301696,2611733015,8314825542380,283125551,580302,1116948342593,8317644251244,532180103114,1117109330003,9578471853,272544209,3738376,2677,40m41.811936903s,0
